Entity,latitude,longitude,1960Perc_Urban,1970Perc_Urban,1980Perc_Urban,1990Perc_Urban,2000Perc_Urban,2010Perc_Urban,2017Perc_Urban,,,,,,,,,,,,,,,,,,,,
Cyprus,35.13,33.43,35.63,40.76,58.61,66.78,68.65,67.55,66.84,,,,,,,,,,,,,,,,,,,,
Czechia,49.82,15.47,59.55,64.40,75.17,75.22,73.99,73.25,73.67,,,,,,,,,,,,,,,,,,,,
Democratic Republic of Congo,-4.04,21.76,22.30,24.61,27.07,30.63,35.12,40.01,43.88,,,,,,,,,,,,,,,,,,,,
Denmark,56.26,9.50,73.69,79.74,83.72,84.84,85.10,86.79,87.76,,,,,,,,,,,,,,,,,,,,
Djibouti,11.83,42.59,50.33,61.78,72.10,75.96,76.53,77.00,77.65,,,,,,,,,,,,,,,,,,,,
Dominica,15.41,-61.37,37.85,38.68,46.76,63.08,65.26,68.09,70.18,,,,,,,,,,,,,,,,,,,,
Dominican Republic,18.74,-70.16,30.19,40.27,51.29,55.23,61.75,73.75,80.28,,,,,,,,,,,,,,,,,,,,
Ecuador,-1.83,-78.18,33.88,39.28,46.96,55.09,60.30,62.69,63.67,,,,,,,,,,,,,,,,,,,,
Egypt,26.82,30.80,37.86,41.48,43.86,43.48,42.80,43.02,42.70,,,,,,,,,,,,,,,,,,,,
El Salvador,13.79,-88.90,38.35,39.44,44.10,49.27,58.91,65.45,71.28,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,1.65,10.27,25.54,26.95,27.87,34.75,49.09,65.94,71.65,,,,,,,,,,,,,,,,,,,,
Eritrea,15.18,39.78,9.80,12.68,14.39,18.90,26.59,35.18,40.10,,,,,,,,,,,,,,,,,,,,
Estonia,58.60,25.01,57.53,64.95,69.71,71.23,69.37,68.09,68.72,,,,,,,,,,,,,,,,,,,,
Ethiopia,9.15,40.49,6.43,8.59,10.41,12.62,14.74,17.32,20.31,,,,,,,,,,,,,,,,,,,,
Fiji,-16.58,179.41,29.68,34.76,37.77,41.61,47.91,52.17,55.74,,,,,,,,,,,,,,,,,,,,
Finland,61.92,25.75,55.29,63.70,71.73,79.37,82.18,83.77,85.32,,,,,,,,,,,,,,,,,,,,
